pair,are_same_entity,confidence,left_norm,right_norm
7,False,0.8,disability rights advocates,disability rights nebraska
8,False,0.7,access reproductive justice,new voices for reproductive justice
9,False,0.75,central atlantic conference of the united church of christ,congregational united church of christ
10,False,0.95,arkansas state chamber of commerce,south carolina chamber of commerce
1,False,0.8,independent inst,independent voter project
2,False,0.7,kansas farm bureau legal fdn,oklahoma farm bureau legal fdn and affiliated county farm bureaus
3,False,0.7,inst for justice,pacific justice inst
4,True,0.9,american civil liberties union fdn,american civil liberties union fdn of arizona
5,False,0.8,dc volunteer lawyers project,volunteer lawyers project of cny
6,False,0.7,global business alliance,global liberty alliance
7,False,0.9,verily life sciences,wave life sciences
8,False,0.9,arizona coalition to end sexual and domestic violence,nebraska coalition to end domestic and sexual violence
9,False,1.0,business council of new york state,rhode island state council of churches
10,False,0.8,assn of american indian affairs,assn on american indian affairs
1,False,0.9,tampa bay inventors council,tampa bay tech
2,False,0.95,d.c. assn of criminal defense lawyers,florida assn of criminal defense lawyers
3,True,0.99,california state sheriffs assn,california state sheriffs’ assn
4,False,1.0,chamber of commerce of the united states of america,veterans of foreign wars of the united states
5,False,0.85,children’s ctr,ctr for u.s. policy
6,False,0.8,ctr on race law and justice,nyu ctr on race inequality and the law
7,False,0.85,central city assn of los angeles,central city east assn of los angeles
8,False,0.9,low income housing inst,natl low income housing coalition
9,False,0.9,generation justice,seventh generation
10,False,0.9,ctr for consumer law and economic justice,hawaii appleseed ctr for law and economic justice
1,False,0.9,diocese of biloxi,roman catholic diocese of jackson
2,False,0.95,dominican bar assn,union university
3,False,0.8,faith and freedom fdn,freedom fund
4,False,0.85,central united methodist church,soc of the united methodist church
5,False,0.95,dc coalition against domestic violence,vermont network against domestic and sexual violence
6,False,0.9,atlantic ctr for capital representation,ctr for family representation
7,False,0.85,catholic health assn,united states catholic mission assn
8,False,0.95,american g.i. forum,family fdn
9,False,0.95,florida rural water assn,oklahoma rural water assn
10,False,0.95,minnesota multi housing assn,washington multi-family housing assn
1,False,0.9,asian pacific american labor alliance,coalition of labor union women afl-cio
2,False,0.9,mt innocence project,new england legal fdn
3,False,0.8,2556 operation outcry women injured by abortion,410 texas women injured by abortion
4,False,0.9,access justice,natl latina inst for reproductive justice
5,False,0.7,beacon,beacon lighthouse
6,False,0.8,children and family justice ctr,our children’s trust
7,False,0.95,california state sheriffs assn,healthcare assn of new york state
8,False,0.9,american health care assn,unity health care
9,True,0.95,american fed of teachers,american fed of teachers (afl-cio)
10,False,0.85,children’s ctr,council for children’s rights
1,False,0.9,california women’s law ctr,children’s law ctr
2,False,0.95,federal defender for the eastern district of california,federal public defender northern district of california
3,False,0.9,illinois health and hospital assn,illinois primary health care assn
4,False,0.9,pacific marine fund,pacific maritime assn
5,False,0.95,alabama criminal defense lawyers assn,louisiana assn of criminal defense lawyers
6,False,0.95,american planning assn,soc of family planning
7,False,0.9,children’s ctr,our children’s trust
8,False,0.95,american hospital assn,maine hospital assn
9,False,0.95,black public defender assn,federal public defender of oregon
10,False,0.9,natl assn for rural mental health,natl rural health assn
1,False,0.9,breas medical ab,california medical assn
2,False,0.6,federal public and community defenders,public defender assn
3,False,0.95,alabama criminal defense lawyers assn,massachusetts assn of criminal defense lawyers
4,False,0.95,asian american bar assn of new york,league of women voters of new york state
5,False,0.7,california chamber of commerce,chambers of commerce
6,False,0.95,arkansas pharmacists assn,oklahoma pharmacists assn
7,False,0.85,boise metro chamber of commerce,united states chamber of commerce
8,False,0.5,l.i.n.d.a. org,religious org
9,False,0.8,natl bar assn,natl creditors bar assn
10,False,0.95,bar assn of the district of columbia,montana assn of criminal defense lawyers
1,False,0.9,california water quality assn,equality california
2,False,0.8,naral pro-choice america,pro-choice washington
3,False,0.7,neighborhood defender service (new york),new york county defender service
4,False,0.95,california charter schools assn,texas charter schools assn
5,False,0.85,disability rights bar assn,disability rights nebraska
6,False,0.9,energy transfer partners l.p.,kinder morgan energy partners l.p.
7,False,0.8,second amendment defense and education coalition,second amendment fdn
8,True,0.95,ctr for law brain and behavior,massachusetts general hospital ctr for law brain and behavior
9,False,0.75,assn of administrative law judges,federal administrative law judges conference
10,False,0.6,beacon,beacon ctr
1,False,0.8,chambers of commerce,kansas chamber of commerce
2,False,0.6,tzedek assn,tzedek dc
3,False,0.9,alameda county public defender,harris county public defender’s office
4,False,0.7,bader family fdn,family fdn of virginia
5,True,0.9,iowa pork producers assn,state pork producer assn of iowa
6,False,0.95,federal public defender district of hawai’i,federal public defender for the district of nevada
7,False,0.95,natl sheriffs assn,new mexico hospital assn
8,False,0.9,atlanta legal aid soc,legal aid soc in new york city
9,True,1.0,natl womens law ctr,natl women’s law ctr
10,False,0.85,california assn of lawyers for education,california women lawyers
1,False,0.9,bridgeville rifle and pistol club,california rifle and pistol assn
2,False,0.95,federal defender for the eastern district of california,federal public defender for the district of nevada
3,False,0.95,colorado coalition against sexual assault,wisconsin coalition against sexual assault
4,False,0.95,american dental assn,n.c. dental soc
5,False,0.85,central district consumer bankruptcy attorney assn,natl assn of consumer bankruptcy attorneys
6,False,0.9,stand for georgia values,stand with us
7,False,0.8,ctr for environmental accountability,environmental advocates
8,False,0.85,honest elections project,taxpayers for honest elections
9,False,0.9,inst for women’s policy research,nevada policy research inst
10,False,0.9,maine education assn,maine women’s lobby education fund
1,False,0.7,american civil liberties union,american civil liberties union fdn of maryland
2,False,0.3,american marine fund,coastal marine fund
3,False,0.5,columbia union conference of seventh-day adventists,general conference of the seventh-day adventists
4,False,0.9,aclu of puerto rico,natl assn of criminal defense lawyers
5,True,0.95,graphic artists guild,graphic artists guild.
6,True,0.9,young conservative of texas,young conservatives of texas
7,False,0.4,connecticut criminal defense attorneys assn,criminal defense attorneys
8,False,0.4,california assn of lawyers for education,california employment lawyers’ assn
9,False,0.95,assn of arkansas counties,wisconsin counties assn
10,False,0.2,girls,heart women and girls
1,False,0.9,mental health america,natl assn for rural mental health
2,True,0.95,inst para las mujeres en la migración,inst para las mujeres en la migración a.c.
3,False,1.0,argent,target
4,False,0.95,aclu of north carolina,legal aid of north carolina
5,False,0.9,disability rights bar assn,disability rights vermont
6,False,0.8,85 religious org,religious org
7,False,0.7,free speech advocates,unc free speech alliance
8,False,0.95,chambers of commerce,kentucky chamber of commerce
9,True,0.9,missouri asian american youth fdn,missouri asian american youth fed
10,False,0.95,innocence project argentina,mt innocence project
1,False,0.9,access housing. district of columbia,district of columbia assn of criminal defense lawyers
2,True,0.95,nc family policy council,north carolina family policy council
3,False,0.9,american historians,district of columbia historians
4,False,0.95,assn of criminal defense lawyers of new jersey,massachusetts assn of criminal defense lawyers
5,False,0.8,criminal justice legal fdn,freedom and justice fdn
6,False,0.7,administer justice,our justice
7,False,0.9,kansas coalition against sexual and domestic violence,washington coalition against domestic violence
8,False,0.85,spring hill united church of christ,united church of christ
9,True,0.95,ctr for law brain and behavior,ctr for law brain and behavior at massachusetts general hospital
10,False,0.95,rocky mountain innocence ctr,rocky mountain mining inst
1,False,0.9,justice policy inst,maine ctr for economic policy
2,False,0.7,ctr for fair housing,safe housing alliance
3,True,0.95,freedomworks,freedomworks fdn
4,False,0.95,naral pro-choice north carolina,north carolina school boards assn
5,False,0.95,military women’s coalition,women’s mining coalition
6,False,0.9,american assn of railroads,natl assn of railroad referees
7,False,0.6,america’s frontline doctors,frontline
8,False,0.85,arkansas state chamber of commerce,freedom partners chamber of commerce
9,False,0.8,children’s ctr,children’s law ctr of minnesota
10,False,0.95,arizona chamber of commerce and industry,arkansas state chamber of commerce
1,False,0.9,ctr for democracy and technology,ctr for media and democracy
2,False,0.8,family policy alliance of new jersey,new jersey family fdn
3,False,0.95,natl jewish advocacy ctr,natl pain advocacy ctr
4,False,0.9,league of women voters of the united states,united state of women
5,False,0.85,america’s frontline doctors,frontline policy council
6,False,0.95,olivet nazarene university,point loma nazarene university
7,False,0.95,greater new york hospital assn,ymca of greater new york
8,False,0.9,chambers of commerce,new jersey chamber of commerce
9,False,0.85,children and family justice ctr,children’s law ctr of massachusetts
10,False,0.9,assn county commissioners of georgia,minnesota assn of county land commissioners
1,False,0.9,central atlantic conference of the united church of christ,impact church of christ
2,False,0.8,community legal ctr,trinity legal ctr
3,False,0.95,sierra club,sierra health fdn
4,False,0.95,confederated tribes of the chehalis reservation,confederated tribes of the warm springs reservation of oregon
5,False,0.9,natl assn of tribal historic preservation officers,natl trust for historic preservation
6,False,0.95,disability rights florida,disability rights ohio
7,False,0.95,breas medical ab,texas medical assn
8,False,0.95,arkansas state chamber of commerce,chamber of commerce of the united states of america
9,False,0.95,federal defender for the district of arizona,federal public defender of oregon
10,False,0.85,children’s ctr,children’s law ctr of massachusetts
1,True,0.9,freedom fdn,freedom from religion fdn
2,False,0.8,inner city law ctr,partnership for inner-city education
3,False,0.7,cornell free speech alliance,free speech for people
4,False,0.9,fair housing ctr of washington,rental housing assn of washington
5,False,0.8,new england innocence project,new england legal fdn
6,False,0.95,american farm bureau fed,california farm bureau fed
7,False,0.95,illinois right to life,new jersey right to life
8,False,0.9,civil rights education and defense fund,women’s legal defense and education fund
9,False,0.85,natl health law program,women’s law project
10,False,0.9,freedom fdn of minnesota,minnesota 8
1,False,0.9,captive insurance companies assn,natl assn of mutual insurance companies
2,False,0.9,animal legal defense fund,life legal defense fdn
3,False,0.9,minority veterans of america,student veterans of america
4,False,1.0,district attorneys assn of the state of new york,new york state psychological assn
5,False,0.95,american farm bureau fed,north carolina farm bureau fed
6,True,0.95,office of the ohio public defender,ohio public defender
7,False,0.9,children’s ctr,children’s health defense
8,False,0.9,colorado state university,twelve state universities and state university systems
9,False,0.95,disability rights florida,disability rights louisiana
10,False,1.0,american trucking assn,mississippi college
1,False,0.9,natl louis university,saint louis university
2,False,0.8,freedom from religion fdn,islam and religious freedom action team (irf) of the religious freedom inst
3,False,0.7,california family council,family council and family policy inst
4,True,0.95,firearm policy coalition,firearms policy coalition
5,False,0.95,assn of the bar of the city of new york,healthcare assn of new york state
6,False,0.95,american trucking assn,kentucky coal assn
7,False,0.95,aclu of puerto rico,utah assn of criminal defense lawyers
8,False,0.85,american civil liberties union fdn,american civil liberties union of colorado
9,False,0.8,assn of prosecuting attorneys,michigan prosecuting attorneys assn
10,False,0.9,colorado right to life,louisiana right to life fed
1,False,0.7,community legal ctr,legal rights ctr
2,False,0.9,california school boards assn,iowa assn of school boards
3,False,0.6,open the government,tennessee coalition for open government
4,False,0.7,louisiana coalition for reproductive freedom,nfa freedom alliance
5,False,0.9,assn of the bar of the city of new york,medical soc of the state of new york
6,False,0.7,natl immigration law ctr,natl immigration litigation alliance
7,False,0.9,arizona coalition to end sexual and domestic violence,vermont network against domestic and sexual violence
8,True,0.95,feeding america,feeding america-eastern wisconsin
9,False,0.9,american energy inst,tricon energy
10,True,1.0,doctors without borders/medecins sans frontieres,médecins sans frontières / doctors without borders
1,False,0.9,american bar assn,lgbt bar assn of new york
2,False,0.9,hca healthcare,prime healthcare
3,False,0.95,d.c. assn of criminal defense lawyers,missouri org of defense lawyers
4,False,0.8,access justice,spark reproductive justice now!
5,False,0.85,central american resource ctr (carecen-la),central american resource ctr of northern ca-carecen sf
6,False,0.95,los angeles area chamber of commerce,roseburg area chamber of commerce
7,False,0.85,california attorneys for criminal justice,criminal defense org
8,False,0.8,assn for american innovation,innovation alliance
9,False,0.85,commonwealth second amendment,second amendment defense and education coalition
10,False,0.95,disability rights connecticut,disability rights tennessee
1,True,0.9,family fdn (tff) of virginia,family fdn of virginia
2,False,0.95,march for life,women’s march
3,False,0.7,san diego county gun owners,san diego county gun owners political action comm
4,False,0.95,american hospital assn,mississippi in action
5,False,0.9,southeastern legal fdn,southeastern ohio legal services
6,False,0.95,american financial services assn,native american finance officers assn
7,False,0.95,federal defender for the district of arizona,federal public defender district of nevada
8,False,0.9,faith and freedom fdn,justice and freedom fund
9,True,0.85,2556 operation outcry women injured by abortion,operation outcry
10,False,0.95,arizona chamber of commerce and industry,maryland chamber of commerce
1,False,0.7,asian pacific american gun owners assn,gun owners fdn
2,False,0.8,internet accountability project,internet assn
3,False,0.9,earlens,siemens corporation
4,False,0.8,defense of freedom inst,religious freedom inst
5,True,0.95,coalition ending gender based violence,coalition ending gender-based violence
6,False,0.9,heritage defense fdn,heritage university
7,False,0.9,operation save america,save the children
8,True,0.9,community legal services,community legal services of philadelphia
9,False,0.75,commonwealth second amendment,second amendment law ctr
10,False,0.7,ctr for reproductive rights,women’s reproductive rights assistance project
1,False,0.9,american assn of university women-michigan chapter,board of regents of the university of michigan
2,False,0.95,colorado psychological assn,indiana psychological assn
3,False,0.95,american bar assn,dominican bar assn
4,False,0.9,comm for children,comm for justice
5,False,0.9,disability rights advocates,disability rights ohio
6,False,0.9,independence inst,independent women’s law ctr
7,False,0.95,apartment assn of los angeles county,lgbtq+ lawyers assn of los angeles
8,False,0.9,asian pacific american gun owners assn,gun owners fdn.
9,False,0.95,arkansas assn of chiefs of police,california tribal police chiefs assn
10,False,0.9,central united methodist church,united methodist church general board of church and soc
1,False,0.7,ctr for human rights and constitutional law,human rights law network
2,False,0.8,kern family health care,unity health care
3,False,0.7,equal protection project of the legal insurrection fdn,resurrection project
4,False,0.9,american free enterprise chamber of commerce,natl black chamber of commerce
5,False,0.9,legal aid justice ctr,legal aid of nebraska
6,False,1.0,alabama trucking assn,california trucking assn
7,False,1.0,pueblo of santa clara,santa clara university
8,False,0.9,players assn of the natl basketball assn,women’s natl basketball players assn
9,False,1.0,alabama criminal defense lawyers assn,vermont assn of criminal defense lawyers
10,False,0.8,asian real estate assn of america,real estate roundtable
1,False,0.9,central atlantic conference of the united church of christ,rocky mountain conference of the united church of christ
2,False,0.95,protect our care,protect our gun rights
3,False,0.95,tampa bay rays,tampa bay tech
4,False,0.9,clean ocean action,clean water action
5,False,0.95,comm for children,inst for justice
6,False,0.95,chamber of commerce of the united states,veterans of the armed forces of the united states of america
7,False,0.9,disability rights connecticut,disability rights texas
8,False,0.9,unitarian universalist church,unitarian universalist service comm
9,False,0.9,california assn of realtors,minnesota realtors®
10,False,0.9,innocence project brasil,mt innocence project
1,False,0.8,civil rights org,emory civil rights soc
2,False,0.9,american civil liberties union fdn of virginia,american civil liberties union of georgia
3,False,0.9,coalition on homelessness and housing ohio,coalition on homelessness san francisco
4,False,1.0,asian american legal defense and education fund,eagle forum education and legal defense fund
5,False,1.0,arizona citizens defense league,connecticut citizens defense league
6,False,0.7,black women for wellness,ubuntu black women’s wellness collective
7,False,0.8,inst for free speech,tully ctr for free speech
8,False,0.9,catholic health assn of texas,texas assn of community health ctr
9,False,0.9,federal law enforcement officers assn,maine state law enforcement assn
10,False,0.8,b.e. technology,technology policy inst
1,False,0.9,freedom from religion fdn,islam and religious freedom action team of the religious freedom inst
2,False,0.7,american alliance for equal rights,equal rights advocates
3,False,0.95,mississippi college,mississippi in action
4,False,0.95,boise metro chamber of commerce,ohio chamber of commerce
5,False,0.8,american small business league,small business majority fdn
6,False,0.85,disability rights advocates,disability rights louisiana
7,True,0.95,connecticut innocence project,connecticut innocence project/post-conviction unit
8,False,0.95,emerson college,union college
9,False,0.8,natl small business assn,small business majority
10,False,0.95,american free enterprise chamber of commerce,west virginia chamber of commerce
1,False,0.9,nc asian american coalition,women nc
2,False,0.8,alliance for educational justice,alliance for justice
3,False,0.95,league of california cities,league of women voters of florida
4,False,0.95,arizona chamber of commerce and industry,san francisco chamber of commerce
5,False,0.85,dc coalition against domestic violence,washington coalition against domestic violence
6,False,0.9,defense of freedom inst,tax freedom inst
7,False,0.9,medical assn of georgia,natl medical assn
8,False,0.9,american civil liberties union fdn of northern california,american civil liberties union of washington
9,False,0.85,arizona coalition to end sexual and domestic violence,natl network to end domestic violence
10,False,0.95,michigan assn of counties,wisconsin counties assn
1,False,0.9,magellan technology,micron technology
2,False,0.9,energy infrastructure council,internet infrastructure coalition
3,False,0.95,federal public defender district of alaska,federal public defender for the district of arizona
4,False,0.85,north carolina public interest research grp citizen lobby,u.s. public interest research grp
5,False,0.9,american property owners alliance,gre downtowner
6,False,0.95,civil rights education and defense fund,nra civil rights defense fund
7,False,0.95,league of conservation voters,league of women voters of the united states
8,False,0.8,stand u.p.,stand with survivors
9,False,0.9,clark university,clarke university
10,True,0.95,mining minnesota,minnesota exploration assn. dba miningminnesota
1,False,0.9,community legal services,indiana legal services
2,False,0.8,frontline,frontline policy
3,False,0.7,unitarian universalist assn,unitarian universalists for social justice
4,False,1.0,aclu of pennsylvania,amerihealth caritas pennsylvania
5,False,1.0,constitution party,green party natl comm
6,False,0.9,california water clean network,natl assn of clean water agencies
7,True,0.95,population connection,population connection action fund
8,False,0.85,atlantic union conference of seventh-day adventists,general conference of seventh-day adventists
9,False,0.9,assn of corporate counsel,intl assn of defense counsel
10,False,0.95,ctr for children’s law and policy,ctr for intl environmental law
1,False,0.9,community legal services,youth oasis
2,False,0.7,independence inst,independent inst
3,False,0.95,americans united for life,asian americans united
4,False,0.95,iowa republican party,north carolina republican party
5,False,0.95,federal public defender district of guam,federal public defender for the district of alaska
6,False,0.9,aclu of massachusetts,massachusetts advocates for children
7,False,0.85,montana shooting sports assn,natl sports shooting fdn
8,False,0.9,inst for women’s policy research,nevada policy
9,False,0.9,assn of criminal defense lawyers of new jersey,vermont assn of criminal defense lawyers
10,False,0.95,county of orange,gun owners fdn
1,False,0.8,disability rights bar assn,disability rights ohio
2,False,0.7,american veterans,veterans legal inst
3,False,0.6,constitution party,constitutional natl comm
4,False,0.9,california chamber of commerce,maryland chamber of commerce
5,False,0.7,neighbors helping neighbors (new york),san antonio region justice for our neighbors
6,False,0.95,asian american bar assn of new york,new york state sheriffs’ assn
7,False,0.6,call,oklahoma call for reproductive justice
8,False,1.0,american legion,legion brewing co.
9,False,0.8,california assn of federal firearms licensees,federal firearms licensees of illinois
10,False,0.85,ctr for children’s law and policy,environmental law and policy ctr
1,False,0.9,northland family planning ctr,soc of family planning
2,False,0.7,fdn for michigan freedom,freedom fdn
3,False,0.95,voices for children in nebraska,voices for utah children
4,False,0.8,children’s ctr,children’s law ctr of california
5,False,0.9,freedom from religion fdn,religious inst
6,False,0.95,american public health assn,south asian network
7,True,0.99,chamber of commerce of the united states,chamber of commerce of the united states of america
8,False,0.85,american securities assn,north american securities administrators assn
9,False,0.95,arkansas school boards assn,south carolina school boards assn
10,False,0.9,california inst of technology,california manufacturers and technology assn
1,False,0.9,indiana hospital assn,south carolina hospital assn
2,False,0.8,media action ctr,women’s media ctr
3,False,0.85,j-vapor d/b/a north shore vapor,vertigo vapor. d/b/a baton vapor
4,False,0.9,colorado criminal defense bar,natl assn of criminal defense lawyers
5,False,0.95,conservative legal defense and education fund,lambda legal defense and education fund
6,False,0.9,freedom fdn of washington,natl legal fdn
7,False,0.95,league of women voters california,league of women voters of new york
8,False,0.95,american civil liberties union fdn of arizona,american civil liberties union fdn of virginia
9,False,0.9,american free enterprise chamber of commerce,orthodox jewish chamber of commerce
10,False,0.9,california water quality assn,north carolina water quality assn
1,False,0.9,bay area lawyers for individual freedom,ctr for individual rights
2,False,0.95,dc coalition against domestic violence,georgia coalition against domestic violence
3,False,1.0,aclu of puerto rico,pennsylvania assn of criminal defense lawyers
4,False,0.95,legal aid of north carolina,north carolina chamber legal inst
5,False,0.9,adamas pharmaceuticals,mylan pharmaceuticals
6,False,0.95,american civil liberties union fdn,american civil liberties union of massachusetts
7,False,0.95,arkansas state chamber of commerce,virginia chamber of commerce
8,True,1.0,california assn of realtors,california assn of realtors®
9,False,0.9,conservative legal defense and education fund,women’s equal rights legal defense and education fund
10,False,0.9,alliance san diego,lawyers club of san diego
1,False,0.7,ctr for popular democracy,ctr for popular democracy action
2,False,0.9,georgia coalition against domestic violence,hawai’i state coalition against domestic violence
3,False,0.95,alabama criminal defense lawyers assn,oregon criminal defense lawyers assn
4,False,0.95,asian pacific american bar assn of los angeles county,central city assn of los angeles
5,False,0.9,stand for georgia values,stand up michigan
6,False,0.85,ctr for environmental accountability,ctr for intl environmental law
7,False,0.8,community health choice,natl assn of community health ctr
8,False,0.95,arkansas school boards assn,pennsylvania school boards assn
9,False,0.95,american trucking assn,missouri trucking assn
10,False,0.85,advocates for human rights,equal rights advocates
1,False,0.7,aclu of kentucky fdn,family fdn (kentucky)
2,False,0.6,arizona prosecuting attorneys’ advisory council,assn of prosecuting attorneys
3,True,0.9,asian and pacific islander american health forum,asian and pacific islander health forum
4,False,0.5,american civil rights project,civil rights org
5,False,0.6,pioneer public interest law ctr,public interest law ctr
6,False,0.8,american civil liberties union fdn,american civil liberties union of missouri
7,False,0.7,family forum,michigan family forum
8,False,0.9,county of orange,fair housing council of orange county
9,False,0.7,ctr for environmental accountability,environmental law and policy ctr
10,False,0.6,alliance for justice,justice policy inst
1,False,0.3,century american regional ctr,century fdn
2,False,0.4,jewish alliance for law and social action,jewish social policy action network
3,False,0.2,natl alliance to end homelessness,west virginia coalition to end homelessness
4,False,0.9,colorado psychological assn,georgia psychological assn
5,False,0.1,american hospital assn,mississippi trucking assn
6,False,0.3,california wilderness coalition,wilderness soc
7,True,0.95,doctors for camp closure,doctors for camp closure (d4cc)
8,False,0.1,fond du lac band,lac du flambeau band of lake superior chippewa indians
9,False,0.3,girls,natl girls health and justice inst
10,False,0.6,hadassah the womens zionist org of america,zionist org of america
1,False,0.7,natl partnership for new americans,partnership for the advancement of new americans
2,False,0.9,asian pacific american labor alliance,natl council of asian pacific islander physicians
3,False,0.95,pueblo of santa clara,santa clara family health plan
4,True,0.95,u.s. public interest research grp,u.s. public interest research grp education fund
5,False,0.95,american hospital assn,louisiana hospital assn
6,False,0.9,gas and oil assn of west virginia,pennsylvania independent oil and gas assn
7,True,0.9,natl fed for the blind,natl fed of the blind-missouri
8,False,0.95,disability rights california,disability rights connecticut
9,False,0.8,american ctr for law and justice,freedom and justice fdn
10,False,0.9,american civil liberties union fdn,american civil liberties union of florida
1,False,0.9,natl bar assn,natl trans bar assn
2,False,0.8,america’s frontline doctors,frontline policy council (georgia)
3,False,0.9,digestive health physicians assn,physicians for reproductive health
4,False,0.95,american farm bureau fed,texas farm bureau
5,False,0.85,assn for government accountability,internet accountability project
6,False,0.8,presidential coalition,presidential women’s ctr
7,False,0.9,authors alliance,authors guild
8,False,0.95,alabama criminal defense lawyers assn,maine assn of criminal defense lawyers
9,False,0.95,assn of criminal defense lawyers of new jersey,oregon criminal defense lawyers assn
10,False,0.85,project rainbow,rainbow railroad
1,False,0.9,american civil liberties union of texas,arkansas civil liberties fdn
2,False,0.9,capital research ctr,women’s media ctr
3,False,0.8,natl fed of independent business,small business assn
4,False,0.95,league of women voters california,league of women voters maryland chapter
5,False,0.9,disability rights bar assn,disability rights michigan
6,False,0.85,ctr for law and military policy,military and veterans’ law inst
7,False,0.95,arizona republican party,republican party of new mexico
8,False,0.9,ctr for individual freedom,fdn for individual rights and expression
9,False,0.95,colorado criminal defense bar,utah assn of criminal defense lawyers
10,False,0.9,east bay community law ctr,east bay family defenders
1,False,0.9,georgia legal services program,natl veterans legal services program
2,False,0.7,aclu of mississippi,mississippi in action
3,False,0.6,american alliance for equal rights,citizens equal rights alliance
4,False,0.8,fairchild semiconductor intl,semiconductor industry assn
5,False,0.9,mississippi college,mississippi trucking assn
6,True,0.95,verizon,verizon communications
7,True,0.95,natl women’s soccer league players assn,players assn of the natl women’s soccer league
8,False,0.85,american farm bureau fed,oklahoma farm bureau legal fdn
9,False,0.85,american civil liberties union fdn,new york civil liberties union
10,False,0.7,arizona assn for justice,arizona justice project
1,True,0.9,protect democracy,protect democracy project
2,False,0.95,cuyahoga county public defender,harris county public defender’s office
3,False,0.6,freedom fdn,freedom fund
4,False,0.7,ctr for worker freedom,families for freedom
5,False,0.8,eagle forum fdn,pennsylvania eagle forum
6,False,0.7,american independent natl comm,independent voter project
7,False,0.8,natl family violence law ctr,sexual violence law ctr
8,True,1.0,pharmaceutical research and manufacturers of america,pharmaceutical research and manufacturers of america (phrma)
9,False,0.9,aclu of north carolina,equality north carolina
10,False,0.85,general conference of seventh-day adventists,seventh-day adventist church in canada
1,False,0.8,league of women voters,league of women voters of new york state
2,False,0.7,asociación de periodistas de puerto rico,puerto rico restaurant assn/asociación de restaurantes de puerto rico
3,False,0.9,chaplain alliance for religious liberty,lutheran ctr for religious liberty
4,False,0.9,natl fed of independent business,natl small business assn
5,True,1.0,state innovation exchange,state innovation exchange (six)
6,False,1.0,california school boards assn,virginia school boards assn
7,False,1.0,new mexico district attorneys assn,new mexico mining assn
8,False,0.9,arizona coalition to end sexual and domestic violence,washington coalition against domestic violence
9,True,0.95,american fuel and petrochemical manufacturers,american fuels and petrochemical manufacturers assn
10,False,0.95,intl assn of chiefs of police,wisconsin chiefs of police assn
1,False,0.95,aclu of minnesota,minnesota realtors®
2,False,0.9,assn of the bar of the city of new york,women’s bar assn of the state of new york
3,False,0.9,california policy ctr,violence policy ctr
4,False,0.9,care net,open net assn
5,True,0.95,pflag,pflag natl
6,False,0.9,american nurses assn,natl assn of catholic nurses-usa
7,False,0.95,pennsylvania manufacturers assn,west virginia trucking assn
8,False,0.9,equal justice ctr,global justice ctr
9,False,0.85,manchester innocence project,mt innocence project
10,False,0.95,american car rental assn,christian medical and dental assn
1,False,0.9,ctr for children’s law and policy,ctr for law and social policy
2,False,0.8,american ctr for law and justice,justice and freedom law ctr
3,True,0.95,adl (anti-defamation league),anti-defamation league of b’nai b’rith
4,False,0.95,disability rights connecticut,disability rights oregon
5,False,0.95,california trucking assn,nevada trucking assn
6,False,0.9,new american voices,new voices for reproductive justice
7,False,0.95,alaska right to life,natl right to work comm
8,False,0.9,american intellectual property law assn,kuta intellectual property law
9,False,0.85,public defender assn,public defender assn of iowa
10,False,0.95,dominican bar assn,marian university
1,False,0.9,american hospital assn,ri hospitality assn
2,False,0.95,american fed of state county and municipal employees afl-cio,american fed of teachers (afl-cio)
3,False,0.9,aclu fdn of arizona,aclu fdn of kansas
4,False,0.95,assn of criminal defense lawyers of new jersey,maine assn of criminal defense lawyers
5,False,0.85,natl assn of police org,natl police fdn
6,False,0.9,texas public interest research grp,u.s. public interest research grp
7,False,0.9,alliance for justice,mississippi justice inst
8,False,0.9,american farm bureau fed,state farm bureaus of minnesota
9,False,0.9,federal public and community defenders,federal public defender of oregon
10,False,0.9,general conference of seventh-day adventists,seventh-day adventist kinship intl
1,False,1.0,illinois coal assn,illinois hospital assn
2,True,0.9,natl taxpayers union,natl taxpayers union fdn
3,False,0.8,arizona coalition to end sexual and domestic violence,natl ctr on domestic and sexual violence
4,False,1.0,aclu of puerto rico,d.c. assn of criminal defense lawyers
5,False,0.9,council of independent colleges,independent council on women’s sport
6,False,1.0,chamber of commerce of the united states of america,veterans of the armed forces of the united states of america
7,False,0.9,j street,street democracy
8,False,0.7,small business and entrepreneurship council,small business assn
9,True,0.85,students for life action,students for life in america
10,False,0.8,new jersey public interest research grp citizen lobby,u.s. public interest research grp
1,False,0.95,aclu of the district of columbia,federal public defender for the district of guam
2,False,0.9,ctr for american progress,republican women for progress
3,False,0.9,catholics count,catholics for choice
4,False,0.95,dc coalition against domestic violence,iowa coalition against domestic violence
5,False,0.9,ctr for victims of torture,maryland crime victims resource ctr
6,True,0.99,federal public defender district of hawai’i,federal public defender for the district of hawaii
7,False,0.95,innocence project new york new york,new york life
8,False,0.85,assn for government accountability,government accountability project
9,False,0.9,apartment assn of los angeles county,central city assn of los angeles
10,False,0.9,alaska family action,family farm action alliance
1,False,0.9,american planning assn,chinese-american planning council.
2,False,0.9,catholic assn fdn,catholic bar assn
3,False,0.95,alameda county public defender,hamilton county public defender
4,True,0.9,democrats for life,democrats for life of america
5,False,0.85,family policy inst of washington,washington policy ctr
6,False,0.9,intl assn of chiefs of police,washington assn of sheriffs and police chiefs
